"ColorName","ColorId","ColorHex"
"Brisa do Mar","B327","#C3E2E6"
"Lagoa Verde","A655","#9FDBDF"
"Ar Rarefeito","A331","#D3DBDE"
"Água Fresca","A657","#D5E9EC"
"Dia Tranquilo","B657","#B2DBE7"
"Reflexo da Lua","A658","#CEE5EE"
"Praia Grega","B658","#ABD7E9"
"Céu Sereno","A659","#C7E2ED"
"Azul-turquia","B659","#ABD6EB"
"Azulejo de Casa","B333","#C0E0EC"
"Geleiras","C333","#AEDBEB"
"Capitólio","A661","#C9E3EE"
"Tranquilidade","B082","#C5D1DC"
"Azul-calma","C082","#BDCCDD"
"Azul-ártico","A664","#D8E3E8"
"Hortência Suave","B664","#BFD5E8"
"Segredo de Infância","A665","#BCCFE0"
"Nuvem Encantada","A666","#CAD0E2"
"Oceano Ártico","A333","#CCE2EA"
"Pirineus","B330","#BDD1D6"
"Azul-aquário","A328","#D3E7E9"
"Azul-bebê","B334","#B7D5E5"
"Espelho-d'Água","B080","#C4D5DE"
"Azul-polar","A338","#C6D7E5"
"Bala de Anis","A672","#C8D7DD"
"Água Gelada","C023","#CCD4D9"
"Água-doce","A083","#CED4DB"
"Chuva de Prata","B086","#C5CAD1"
"Nuvem de Algodão","A340","#DDE2EC"
"Lenço de Seda","B083","#C3C9D9"
"Lua Azul","A344","#CBD5E7"
"Céu de Inverno","B344","#BECAE4"
"Sombra","A084","#CCCDDA"
"Pelo de Coelho","B347","#CAC8CD"
"Patinação no Gelo","B349","#C6CEE9"
"Luz Visível","A681","#E3E0EC"
"Brisa Sublime","B681","#CFC6E5"
"Meu Diário","B348","#CBC6DF"
"Jardim de Infância","B350","#CDC7E1"
"Chuva de Pétalas","B354","#DECFE5"
"Ikebana","C354","#D7BDE1"
"Aroma de Rosas","B355","#E8D0E3"
"Suave Lilás","C355","#E0C4DF"
"Linha de Costura","A360","#EBDAEA"
"Flor de Amoreira","B360","#E6CDE1"
"Valsa","A345","#CFCFE3"
"Agulha de Crochê","B087","#D6CFD6"
"Folha de Caderno","D011","#D3D0D7"
"Alvorada","A353","#D8CEDF"
"Lilás-bebê","B088","#E0D5DB"
"Creme de Leite","B356","#E5D9E1"
"Menina Charmosa","H150","#D4C1CD"
"Brisa Suave","B099","#E1D4D7"
