"ColorName","ColorId","ColorHex"
"Agapanto","SW9066","#bbc5de"
"Fada Celestial","SW6815","#a7b2d4"
"Dália Lilás","SW6816","#8b98c4"
"Violeta Deslumbrante","SW6817","#6572a5"
"Essência do Sucesso","SW6818","#3e4371"
"Inspiração Lilás","SW6820","#dfd9e4"
"Cetim Lilás","SW6821","#d1cbdf"
"Sossego da Alma","SW6822","#bdb4d4"
"Eternamente Lilás","SW9067","#afa5c7"
"Feitiço do Tempo","SW6823","#968db8"
"Inesquecível","SW6824","#716998"
"Ágata Roxa","SW6825","#4d426e"
"Suavidade da Alma","SW6827","#dfdce5"
"Cantiga Lilás","SW6828","#d2c8dd"
"Mágico","SW6829","#c0afd0"
"Equilíbrio Ametista","SW9068","#b3a1c6"
"Roxo do Acaso","SW6830","#a18ab7"
"Banho de Alfazema","SW6831","#7e6596"
"Roxo Obsessão","SW6832","#624977"
"Lantejoula","SW6834","#e5dbe5"
"Pétala Delicada","SW6835","#dac7da"
"Romance Lilás","SW6836","#c2a4c2"
"Baronesa","SW6837","#a785a7"
"Batata-roxa","SW9069","#937496"
"Lisianto Roxo","SW6838","#7c5a7e"
"Gueixa","SW6839","#5d395f"
"Perfumado","SW6512","#c5d8de"
"Cinco Minutos","SW6513","#b3c9d3"
"Azul Descanso","SW6514","#97b4c3"
